Tipo;FZ;NB;HZ;PZ;FR;HR;SALIDA;PR;MN;L;TRN;TR;D;M;MM;Y;Latgrado_ini;Latmin_ini;LTPI;Longrado_ini;Lonmin_ini;LGPI;EOL;DE;DIL;HIL;Latgrado_fin;Longrado_fin;LTPF;Longrado_fin_1;Lonmin_fin;LGPF;Y_coord;X_coord;DTL;HTL;PF;TDF;TEDF;DL;DLT;VA;DV;FNV;ZP;REG;LCC;LCK;CPUELC;LAC;LAK;CPUELA;LCAC;LCAK;FECHA_H;RENDIM_COL;RENDIM_AM;RENDIM_CA;EOL_2;EOL_3;EOL_4;EOL_5;CALADERO
COMERCIAL;45732;TIRANA II;18:00:00;SAN ANTONIO;18-03-25;16:00:00;SAN ANTONIO;6;1;4;ARRASTRE;;17;3;2025;;32;27;32.45;71;35;71.58333333;LCOL;SI;45733;0.152777778;36557;00:00:00;32.41666667;71;35;71.58333333;-32.41666667;-71.58333333;17-03-25;05:00:00;207;FANGO;11.5;80;1.333333333;2;SW;5;111;V;5.625;90;;84.375;1350;;0;0;;67.5;1012.5;0;LCOL/LAM;LCOL;LAM;LAN;PAPUDO
COMERCIAL;45732;TIRANA II;18:00:00;SAN ANTONIO;18-03-25;16:00:00;SAN ANTONIO;6;3;4;ARRASTRE;;17;3;2025;;32;21;32.35;71;34;71.56666667;LCOL;SI;45733;0.371527778;36557;00:00:00;32.41666667;71;35;71.58333333;-32.41666667;-71.58333333;17-03-25;10:50:00;185;;;115;1.916666667;2;CALMA;;111;V;93.125;1490;;56.25;900;;0;0;;777.3913043;469.5652174;0;LCOL/LAM;LCOL;LAM;LAN;PAPUDO
COMERCIAL;45732;TIRANA II;18:00:00;SAN ANTONIO;18-03-25;16:00:00;SAN ANTONIO;6;4;4;ARRASTRE;;17;3;2025;;32;25;32.41666667;71;34;71.56666667;LCOL;SI;45733;0.485416667;36557;00:00:00;32.35;71;35;71.58333333;-32.35;-71.58333333;17-03-25;13:58:00;183;;;139;2.316666667;2;SW;3;111;V;101.25;1620;;14.375;230;;0;0;;699.2805755;99.28057554;0;LCOL/LAM;LCOL;LAM;LAN;PAPUDO
COMERCIAL;45732;TIRANA II;18:00:00;SAN ANTONIO;18-03-25;16:00:00;SAN ANTONIO;6;5;4;ARRASTRE;;17;3;2025;;32;21;32.35;71;35;71.58333333;LCOL;SI;45733;0.611111111;36557;00:00:00;32.38333333;71;35;71.58333333;-32.38333333;-71.58333333;17-03-25;15:45:00;230;;;65;1.083333333;2;SW;3;111;V;39.375;630;;58.125;930;;1.8;36;;581.5384615;858.4615385;33.23076923;LCOL/LAM/CAM;LCOL;LAM;CAM;PAPUDO
COMERCIAL;45732;TIRANA II;18:00:00;SAN ANTONIO;18-03-25;16:00:00;SAN ANTONIO;6;6;4;ARRASTRE;;17;3;2025;;32;23;32.38333333;71;36;71.6;LCOL;SI;45733;0.694444444;36557;00:00:00;32.45;71;37;71.61666667;-32.45;-71.61666667;17-03-25;18:40:00;293;;;120;2;2;SW;3;111;V;52.5;840;;112.5;1800;;5;100;;420;900;50;LCOL/LAM/CAM;LCOL;LAM;CAM;PAPUDO
COMERCIAL;45737;ANTARES;18:16:00;SAN ANTONIO;23-03-25;11:10:00;SAN ANTONIO;S/M;2;4;ARRASTRE;;22;3;2025;;32;34;32.56666667;71;36;71.6;LCOL;SI;45738;0.203472222;36557;00:00:00;32.48333333;71;35;71.58333333;-32.48333333;-71.58333333;22-03-25;07:30:00;200;;;157;2.616666667;2;SW;15;111;V;78;1248;;77;1232;;0;0;;476.9426752;470.8280255;0;LCOL/LAM;LCOL;LAM;LAN;PAPUDO
COMERCIAL;45737;TIRANA II;11:00:00;SAN ANTONIO;23-03-25;08:00:00;SAN ANTONIO;10;1;4;ARRASTRE;;21;3;2025;;32;26;32.43333333;71;36;71.6;LCOL;SI;45737;0.81875;36557;00:00:00;32.36666667;71;35;71.58333333;-32.36666667;-71.58333333;21-03-25;21:50:00;288;FANGO;11;131;2.183333333;2;SW;4;111;V;56.25;900;;36.875;590;;2.6;52;;412.2137405;270.2290076;23.81679389;LCOL/LAM/CAM;LCOL;LAM;CAM;PAPUDO
COMERCIAL;45737;TIRANA II;11:00:00;SAN ANTONIO;23-03-25;08:00:00;SAN ANTONIO;10;2;4;ARRASTRE;;21;3;2025;;32;21;32.35;71;35;71.58333333;LCOL;SI;45737;0.951388889;36557;00:00:00;32.41666667;71;35;71.58333333;-32.41666667;-71.58333333;22-03-25;01:15:00;230;;;145;2.416666667;2;SW;4;111;V;123.75;1980;;50.625;810;;1.8;36;;819.3103448;335.1724138;14.89655172;LCOL/LAM/CAM;LCOL;LAM;CAM;PAPUDO
COMERCIAL;45737;TIRANA II;11:00:00;SAN ANTONIO;23-03-25;08:00:00;SAN ANTONIO;10;3;4;ARRASTRE;;22;3;2025;;32;26;32.43333333;71;35;71.58333333;LCOL;SI;45738;0.10625;36557;00:00:00;32.36666667;71;35;71.58333333;-32.36666667;-71.58333333;22-03-25;05:00:00;200;;;147;2.45;2;SW;3;111;V;158.125;2530;;24.375;390;;0;0;;1032.653061;159.1836735;0;LCOL/LAM;LCOL;LAM;LAN;PAPUDO
COMERCIAL;45737;TIRANA II;11:00:00;SAN ANTONIO;23-03-25;08:00:00;SAN ANTONIO;10;4;4;ARRASTRE;;22;3;2025;;32;21;32.35;71;35;71.58333333;LCOL;SI;45738;0.247916667;36557;00:00:00;32.43333333;71;35;71.58333333;-32.43333333;-71.58333333;22-03-25;08:40:00;210;;;163;2.716666667;2;SW;4;111;V;146.25;2340;;33.75;540;;0;0;;861.3496933;198.7730061;0;LCOL/LAM;LCOL;LAM;LAN;PAPUDO
